recrutiment_year,recruitment_type,test,gender,value,awarded_score
2021,hd,25mt_swim,m,2,"<13,6”"
2021,hd,25mt_swim,m,"1,6","da 13,6” a 15,5”"
2021,hd,25mt_swim,m,"1,2","da 15,6” a 17,5”"
2021,hd,25mt_swim,m,"0,8","da 17,6” a 21”"
2021,hd,25mt_swim,m,"0,4","da 21,1” a 30”"
2021,hd,25mt_swim,m,"0
(non idoneo solo per la Cat/Spec.
Operazioni/Op. di Bordo)",>30”
2021,hd,1000mt_run,m,2,<3’ 30’’1
2021,hd,1000mt_run,m,"1,6",da 3’30’’1 a 3’40’’0
2021,hd,1000mt_run,m,"1,2",da 3’40’’1 a 4’00’’0
2021,hd,1000mt_run,m,"0,8",da 4’00’’1 a 4’10’’0
2021,hd,1000mt_run,m,"0,4",da 4’10’’1 a 4’20’’0
2021,hd,1000mt_run,m,0,>4’20’’0
2021,hd,100mt_run,m,1,<12’’6
2021,hd,100mt_run,m,"0,8",da 12’’6 a 13’’0
2021,hd,100mt_run,m,"0,6",da 13’’1 a 13’’5
2021,hd,100mt_run,m,"0,4",da 13’’6 a 14’’0
2021,hd,100mt_run,m,"0,2",da 14’’1 a 15’’5
2021,hd,100mt_run,m,0,>15’’5
2021,hd,push_ups,m,1,>46
2021,hd,push_ups,m,"0,8",da 40 a 46
2021,hd,push_ups,m,"0,6",da 30 a 39
2021,hd,push_ups,m,"0,4",da 20 a 29
2021,hd,push_ups,m,"0,2",da 13 a 19
2021,hd,push_ups,m,0,<13
2021,hd,sit_ups,m,2,>85
2021,hd,sit_ups,m,"1,6",da 71 a 85
2021,hd,sit_ups,m,"1,2",da 56 a 70
2021,hd,sit_ups,m,"0,8",da 41 a 55
2021,hd,sit_ups,m,"0,4",da 30 a 40
2021,hd,sit_ups,m,0,<30
2021,hd,25mt_swim,f,2,"<18,6”"
2021,hd,25mt_swim,f,"1,6","da 18,6” a 20,5”"
2021,hd,25mt_swim,f,"1,2","da 20,6” a 24”"
2021,hd,25mt_swim,f,"0,8","da 24,1” a 28”"
2021,hd,25mt_swim,f,"0,4","da 28,1” a 35”"
2021,hd,25mt_swim,f,"0
(non idoneo solo per la Cat/Spec.
Operazioni/Op. di Bordo)",>35”
2021,hd,1000mt_run,f,2,<4’ 00’’1
2021,hd,1000mt_run,f,"1,6",da 4’00’’1 a 4’10’’0
2021,hd,1000mt_run,f,"1,2",da 4’10’’1 a 4’20’’0
2021,hd,1000mt_run,f,"0,8",da 4’20’’1 a 4’40’’0
2021,hd,1000mt_run,f,"0,4",da 4’40’’1 a 5’00’’0
2021,hd,1000mt_run,f,0,>5’00’’0
2021,hd,100mt_run,f,1,< 15’’1
2021,hd,100mt_run,f,"0,8",da 15’’1 a 16’’0
2021,hd,100mt_run,f,"0,6",da 16’’1 a 17’’0
2021,hd,100mt_run,f,"0,4",da 17’’1 a 18’’0
2021,hd,100mt_run,f,"0,2",da 18’’1 a 19’’0
2021,hd,100mt_run,f,0,>19’’0
2021,hd,push_ups,f,1,>29
2021,hd,push_ups,f,"0,8",da 25 a 29
2021,hd,push_ups,f,"0,6",da 20 a 24
2021,hd,push_ups,f,"0,4",da 15 a 19
2021,hd,push_ups,f,"0,2",da 11 a 14
2021,hd,push_ups,f,0,<11
2021,hd,sit_ups,f,2,>70
2021,hd,sit_ups,f,"1,6",da 56 a 70
2021,hd,sit_ups,f,"1,2",da 41 a 55
2021,hd,sit_ups,f,"0,8",da 31 a 40
2021,hd,sit_ups,f,"0,4",da 20 a 30
2021,hd,sit_ups,f,0,<20
